country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2015,2014,2016,2017,2018,2019
Afghanistan,4.91,5.03,5,4.95,5.03,4.97,4.91,4.8,4.61,4.39,4.27,4.12,4.01,4.01,3.97,3.93,4.01,4.06,4.06,4.13
Armenia,3.41,3.13,3.45,2.62,4.02,4.24,5.87,5.76,4.81,4.77,6.75,6.8,7.44,6.36,6.15,6.26,5.71,2.99,2.08,3.32
Azerbaijan,3.12,3.43,3.6,3.77,4.28,4.5,4.71,4.9,4.74,4.64,4.55,4.5,4.38,4.27,4.07,4.17,3.99,3.98,4.03,4.09
Bahrain,6.59,8.83,9.19,10.1889,10.1982,10.2926,8.19,9.57,9.19,8.55,8.18,7.92,7.4,7.11,7.39,7.42,7.66,8.08,8.56,8.86
Bangladesh,6.04,5.67,5.34,5.07,4.86,4.93,4.98,4.9,4.73,4.58,4.38,3.96,3.67,3.5,3.41,3.47,3.39,3.48,3.56,3.68
Bhutan,4.83,4.86,4.65,4.64,4.54,4.5,4.45,4.37,4.32,4.28,4.23,4.27,4.33,4.4,4.49,4.44,4.47,4.59,4.61,4.6
Brunei Darussalam,1.85,1.33,1.59,1.63,1.93,2.17,2.91,2.58,2.09,1.75,1.27,1.9,2.13,1.78,1.88,1.79,2.56,3.32,3.14,2.7
Cambodia,5.01,5.08,5.06,5.06,5.3,5.53,5.66,5.72,5.58,5.39,5.37,5.27,5.24,5.16,5.06,5.07,5.07,4.96,4.93,4.85
China,14.2938,12.9151,12.1885,12.7639,13.3078,12.8766,12.1168,11.4937,11.0946,10.6624,10.2372,9.6,9,8.59,8.13,8.35,8.16,8.14,8.13,8.07
Democratic People's Republic of Korea,9.78,9.54,9.5,9.16,9.03,8.92,8.92,9.02,9.39,9.4,9.53,9.73,9.69,9.85,10.5014,10.001,10.3551,9.75,9.28,9.38
Georgia,7.39,6.86,8.24,6.62,7.43,6.19,6.15,6.07,7.48,8.45,8.28,8.65,9.15,9.76,10.5303,10.2871,10.6969,9.63,9.36,9.18
India,16.9979,16.5982,16.1191,15.3482,15.1616,15.4507,15.6223,15.269,15.0536,14.5255,14.6421,14.6593,14.2771,13.6952,12.2715,12.7865,12.0517,12.0383,12.5513,12.6863
Indonesia,3.46,3.39,3.32,3.24,3.16,3.01,2.9,2.85,2.77,2.7,2.64,2.59,2.52,2.46,2.36,2.4,2.39,2.41,2.41,2.42
Iran (Islamic Republic of),8,7.76,7.52,6.96,6.73,6.25,5.99,6.44,6.18,6.19,6.31,6.75,6.74,6.61,6.32,6.48,6.22,6.03,5.67,5.23
Iraq,3.78,3.75,3.75,3.81,3.77,3.77,3.84,3.69,3.56,3.74,3.89,4.05,4.12,4.23,4.07,4.1,4.04,3.94,3.73,3.61
Israel,6.76,6.37,5.86,6.4,6.13,6.73,5.47,5.16,5.27,5.95,6.66,5.65,6.07,5.2,4.54,5.13,5.2,5.14,5.4,5.32
Japan,23.9019,23.1947,23.8059,25.5544,24.0941,24.3378,23.892,24.9678,24.4082,24.9272,24.1122,23.3558,21.632,21.3729,19.1336,20.0735,17.4869,17.0125,16.7151,15.3445
Jordan,2.52,2.44,2.32,2.33,2.23,2.01,1.86,1.74,1.67,1.58,1.52,1.51,1.5,1.46,1.46,1.45,1.48,1.5,1.58,1.64
Kazakhstan,38.7057,39.0058,38.2034,39.1788,39.7455,39.2432,37.9589,38.0426,34.5851,30.2565,29.9393,28.7263,27.6139,26.3301,23.2447,24.1867,21.7351,20.8072,18.96,17.5658
Kuwait,2.98,2.61,2.79,2.59,2.66,2.64,2.67,2.57,2.9,2.67,2.46,2.29,2.38,2.42,2.56,2.5,2.63,2.71,2.8,2.91
Kyrgyzstan,14.7881,14.0763,14.0311,13.244,12.5885,13.1862,13.1481,12.6376,12.2566,11.9102,11.3811,11.2726,10.9232,10.4592,9.89,10.4743,8.62,8.26,8,7.39
Lao People's Democratic Republic,6.85,6.89,6.67,6.54,6.48,6.51,6.43,6.31,6.26,6.13,6,5.92,5.69,5.67,5.59,5.53,5.59,5.63,5.62,5.43
Lebanon,2.79,2.7,2.66,2.64,2.66,2.68,2.47,2.85,2.91,2.98,3.01,3.02,2.95,2.95,2.79,2.76,2.71,2.96,2.51,2.77
Malaysia,4.65,4.45,4.45,4.65,4.65,4.58,4.47,4.38,4.52,4.61,4.51,4.55,4.56,4.37,4.83,4.64,5.06,5.35,5.44,5.71
Maldives,3.76,3.73,3.51,3.5,2.85,3.02,3.11,3.01,3.05,2.92,2.7,2.57,2.63,2.57,2.79,2.69,3.11,3.1,2.91,2.74
Mongolia,21.9792,22.2798,21.6829,23.124,23.6687,24.0255,23.6895,23.5963,23.799,23.6339,23.3526,22.7281,21.7209,21.0304,20.0053,20.0102,20.0831,19.2117,18.6477,17.8852
Myanmar,4.67,4.43,4.37,4.28,4.24,4.13,4.08,3.89,3.58,3.59,3.47,3.42,3.31,3.25,3.18,3.23,3.19,3,2.89,2.9
Nepal,8.51,8.11,7.99,7.84,7.73,7.91,7.73,8,8.28,8.54,8.68,8.93,8.88,8.69,8.52,8.49,8.54,8.65,8.82,8.99
Oman,6.23,6.21,5.87,6.11,5.85,5.95,6.53,6.83,6.75,6.5,6.74,6.12,5.39,5.29,5.02,5.11,4.72,4.74,4.69,4.85
Pakistan,8.79,8.93,9.05,9.14,9.17,8.99,9.18,9.05,8.97,8.84,8.8,8.74,8.78,8.86,8.97,8.9,9.09,9.09,8.92,8.93
Philippines,1.75,1.47,1.66,1.82,1.76,1.91,1.98,1.87,1.99,2.31,2.36,2.71,2.36,2.37,2.27,2.28,2.24,2.21,2.18,2.15
Qatar,7.84,7.98,7.82,7.36,7.19,6.84,6.82,8.42,8.26,8.43,8.23,7.95,7.38,6.67,6.11,6.29,6.07,5.78,5.76,5.84
Republic of Korea,14.4805,15.5752,18.9775,24.1016,25.3907,26.72,23.6693,26.728,28.559,34.2212,34.015,34.4805,30.1965,30.5745,28.0491,28.9664,27.1899,25.7888,28.5816,28.5711
Russian Federation,53.7851,52.4448,51.9847,51.5783,50.0668,49.7936,44.7532,41.654,40.7437,38.4333,38.0784,35.8928,34.414,33.4898,32.0482,33.8414,30.9852,28.1927,27.109,25.1078
Saudi Arabia,3.21,3.27,3.38,3.51,3.44,3.69,3.95,4.26,4.58,4.99,5.47,6.1,6.42,6.47,6.34,6.6,6.34,6.22,6.09,5.97
Singapore,12.3663,11.2716,12.3757,12.0602,11.7406,11.2308,11.74,10.6512,10.3897,10.52,9.91,9.55,11.2576,10.2765,8.99,10.2002,9.09,8.98,9.42,11.2059
Sri Lanka,26.6948,21.8378,21.0389,20.8593,21.8459,28.6195,18.278,19.9541,17.4704,22.7384,21.9086,17.9378,16.5855,15.2416,15.1378,13.0937,14.7617,14.4195,14.1557,13.9629
Syrian Arab Republic,1.46,1.4,1.4,1.33,1.35,1.35,1.36,1.38,1.43,1.43,1.47,1.49,1.59,1.75,1.74,1.84,1.62,1.79,1.94,1.95
Tajikistan,3.75,3.59,3.45,3.42,3.45,3.6,3.64,3.72,3.79,3.86,3.95,4.03,4.06,4.02,4.13,4.06,4.29,4.2,4.24,4.28
Thailand,11.9905,10.9398,10.9926,10.7404,10.5368,9.09,8.87,8.38,8.08,7.96,8.05,7.97,7.87,7.45,8.04,7.76,8.5,8.4,8.77,8.83
Timor-Leste,3.56,3.61,3.37,3.44,3.05,3.04,2.73,2.62,2.41,3.13,2.96,3.2,3.31,3.32,3.51,3.38,3.6,3.59,3.64,3.69
Turkey,3.97,3.63,3.19,3.09,2.98,2.83,2.68,2.51,2.39,2.41,2.42,2.24,2.21,2.25,2.26,2.3,2.28,2.29,2.3,2.4
Turkmenistan,12.5337,13.5151,14.0862,14.3388,14.3381,15.1038,15.0572,13.155,11.355,9.43,8.52,7.62,7.13,7.14,6.29,6.81,6.2,5.84,5.7,5.66
United Arab Emirates,8.6,8.58,8.01,7.49,7.74,7.88,8.34,8.33,8.48,8.49,8.38,8.15,7.86,7.49,6.47,7.01,5.95,5.6,6.04,6.43
Uzbekistan,10.0902,10.0269,9.74,9.02,8.63,9.1,8.78,8.63,8.45,7.95,8.11,8.45,8.94,8.89,9.16,8.97,9.14,8.79,8.55,8.04
Viet Nam,6.1,6.13,6.07,6.14,6.26,6.26,6.42,6.67,6.9,6.94,7,7.17,7.37,7.45,7.66,7.63,7.69,7.68,7.61,7.51
Yemen,6.07,6.05,5.92,5.88,5.98,5.91,5.84,5.81,5.97,5.87,5.69,5.62,5.71,5.67,5.51,5.68,5.71,5.58,5.86,5.82
